Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1.0,1.0,368,21940,12969,8971,1.4456582320811504,0.3249022627650752,0.08801092728434451
1.0,0.3,368,8027,5245,2782,1.885334291876348,0.11886920980926431,0.17156968656898738
1.0,0.25,368,6906,4533,2373,1.9102402022756004,0.10226868854401137,0.17925796310938083
1.0,0.2,367,5840,3873,1967,1.9689883070665988,0.08695522699185539,0.19050594051677106
1.0,0.15,367,4932,3281,1651,1.9872804360993337,0.07343547594586143,0.19806423276123844
1.0,0.1,367,4048,2679,1369,1.9569028487947406,0.060273075147779215,0.20070660706769453
1.0,0.05,366,3315,2158,1157,1.8651685393258426,0.04962946328317988,0.19551918156360626
1.0,0.01,366,2680,1682,998,1.685370741482966,0.040122763679916164,0.17394582484538354
0.3,1.0,365,2450,1678,772,2.173575129533679,0.0368809272918862,0.24148060410872488
0.3,0.3,365,2212,1536,676,2.272189349112426,0.03329820864067439,0.2568553678356614
0.3,0.25,364,2060,1434,626,2.29073482428115,0.031180940271849363,0.2604825933174725
0.3,0.2,363,1848,1292,556,2.323741007194245,0.02812656956303365,0.26813141639567467
0.3,0.15,363,1619,1148,471,2.4373673036093417,0.02464118837800405,0.2852207284779967
0.3,0.1,358,1338,956,382,2.5026178010471205,0.020937984132200365,0.2981940254053
0.3,0.05,355,1073,768,305,2.518032786885246,0.017076470120155965,0.30999407389790223
0.3,0.01,344,786,556,230,2.417391304347826,0.01332293714828124,0.31109041603393867
0.25,1.0,365,1814,1259,555,2.2684684684684684,0.02730693963570676,0.26463243018747984
0.25,0.3,365,1728,1205,523,2.3040152963671128,0.026012343820563,0.26977365352939836
0.25,0.25,363,1630,1136,494,2.299595141700405,0.024808608434926868,0.27060333783755675
0.25,0.2,360,1481,1041,440,2.3659090909090907,0.02291860105230579,0.28098549751948243
0.25,0.15,358,1319,946,373,2.5361930294906165,0.020640658498036087,0.30288550804323827
0.25,0.1,349,1105,800,305,2.622950819672131,0.018196489147976155,0.3167121422135211
0.25,0.05,342,893,648,245,2.6448979591836737,0.01531443466927338,0.32889091752038774
0.25,0.01,325,656,473,183,2.5846994535519126,0.012459639126305794,0.33468558135671966
0.2,1.0,360,1368,949,419,2.2649164677804294,0.02116991643454039,0.27484921723165134
0.2,0.3,360,1322,918,404,2.272277227722772,0.020458062519343855,0.27671593184501997
0.2,0.25,359,1279,885,394,2.246192893401015,0.01990320723300291,0.2735945127357044
0.2,0.2,357,1189,824,365,2.2575342465753425,0.018710855128568283,0.2776840630042372
0.2,0.15,353,1080,759,321,2.364485981308411,0.017383466391964975,0.2941959216527493
0.2,0.1,342,921,654,267,2.449438202247191,0.015794618511087103,0.3075113014294631
0.2,0.05,327,765,547,218,2.5091743119266057,0.014352451173523949,0.32121615356928734
0.2,0.01,306,569,409,160,2.55625,0.012193292617593485,0.3356508942790502
0.15,1.0,329,798,572,226,2.5309734513274336,0.014789828749351324,0.3215029367309031
0.15,0.3,329,798,572,226,2.5309734513274336,0.014789828749351324,0.3215029367309031
0.15,0.25,329,792,566,226,2.504424778761062,0.01467862702943139,0.31817132070913245
0.15,0.2,328,770,550,220,2.5,0.014358171104646827,0.31868723118083
0.15,0.15,323,719,523,196,2.6683673469387754,0.013826125415841394,0.33815306240795007
0.15,0.1,310,639,468,171,2.736842105263158,0.013341684935797056,0.347850858464373
0.15,0.05,299,547,402,145,2.7724137931034485,0.012278063343134834,0.35918481800242325
0.15,0.01,275,399,296,103,2.8737864077669903,0.010590577305905773,0.3812743358648148
0.1,1.0,296,481,350,131,2.6717557251908395,0.011016949152542373,0.35071673406087195
0.1,0.3,296,481,350,131,2.6717557251908395,0.011016949152542373,0.35071673406087195
0.1,0.25,296,481,350,131,2.6717557251908395,0.011016949152542373,0.35071673406087195
0.1,0.2,296,477,347,130,2.669230769230769,0.01092533211177279,0.35030213574101343
0.1,0.15,294,466,342,124,2.7580645161290325,0.010819344802767524,0.3607323628975706
0.1,0.1,285,431,318,113,2.814159292035398,0.010649864096861873,0.3686640623529823
0.1,0.05,274,382,279,103,2.70873786407767,0.010213630651586855,0.3647606303447477
0.1,0.01,247,284,210,74,2.8378378378378377,0.00934794773048945,0.38947258390445577
0.05,1.0,228,250,184,66,2.787878787878788,0.009660715665816524,0.38143774736010966
0.05,0.3,228,250,184,66,2.787878787878788,0.009660715665816524,0.38143774736010966
0.05,0.25,228,250,184,66,2.787878787878788,0.009660715665816524,0.38143774736010966
0.05,0.2,228,250,184,66,2.787878787878788,0.009660715665816524,0.38143774736010966
0.05,0.15,228,250,184,66,2.787878787878788,0.009660715665816524,0.38143774736010966
0.05,0.1,225,247,184,63,2.9206349206349205,0.0098015873015873,0.3950605803244312
0.05,0.05,218,232,170,62,2.7419354838709675,0.009808480953790217,0.38137124627912833
0.05,0.01,194,190,139,51,2.7254901960784315,0.010149030500507451,0.38653521155390536
0.01,1.0,110,79,51,28,1.8214285714285714,0.01317764804003336,0.26900388771241673
0.01,0.3,110,79,51,28,1.8214285714285714,0.01317764804003336,0.26900388771241673
0.01,0.25,110,79,51,28,1.8214285714285714,0.01317764804003336,0.26900388771241673
0.01,0.2,110,79,51,28,1.8214285714285714,0.01317764804003336,0.26900388771241673
0.01,0.15,110,79,51,28,1.8214285714285714,0.01317764804003336,0.26900388771241673
0.01,0.1,110,79,51,28,1.8214285714285714,0.01317764804003336,0.26900388771241673
0.01,0.05,110,79,51,28,1.8214285714285714,0.01317764804003336,0.26900388771241673
0.01,0.01,101,74,48,26,1.8461538461538463,0.014653465346534653,0.27741525969035363
