Individual P-value,FDR Threshold,Unique Nodes,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Density,Mean Correlation Coefficient
1.0,1.0,598,54919,44681,10238,4.3642312951748385,0.30766429695859454,0.2562271021889231
1.0,0.3,598,41134,35452,5682,6.239352340725096,0.23043870411141548,0.31702362508383797
1.0,0.25,598,36786,32173,4613,6.974420117060482,0.20608057007445252,0.3373566623782876
1.0,0.2,598,31436,28061,3375,8.314370370370371,0.17610908500137254,0.36640222061058614
1.0,0.15,598,25159,22991,2168,10.60470479704797,0.14094440989787285,0.4043617006353415
1.0,0.1,598,18022,16911,1111,15.221422142214221,0.10096188859570987,0.45592592719516273
1.0,0.05,587,10434,10108,326,31.006134969325153,0.06066596507956812,0.5322653622803806
1.0,0.01,459,3866,3825,41,93.29268292682927,0.03678016572956208,0.6235367372053393
0.3,1.0,591,7314,6866,448,15.325892857142858,0.041951303450055925,0.5166222132118459
0.3,0.3,591,7314,6866,448,15.325892857142858,0.041951303450055925,0.5166222132118459
0.3,0.25,591,7314,6866,448,15.325892857142858,0.041951303450055925,0.5166222132118459
0.3,0.2,591,7314,6866,448,15.325892857142858,0.041951303450055925,0.5166222132118459
0.3,0.15,591,7287,6848,439,15.599088838268793,0.04179643809687688,0.5180785056118505
0.3,0.1,585,6710,6357,353,18.008498583569406,0.039281114623580374,0.5366757347063393
0.3,0.05,552,4994,4825,169,28.550295857988164,0.032838843736026725,0.5877839821280542
0.3,0.01,406,2213,2185,28,78.03571428571429,0.02691722921607979,0.675942648991313
0.25,1.0,578,5242,4984,258,19.31782945736434,0.03143571629895714,0.5557278959652144
0.25,0.3,578,5242,4984,258,19.31782945736434,0.03143571629895714,0.5557278959652144
0.25,0.25,578,5242,4984,258,19.31782945736434,0.03143571629895714,0.5557278959652144
0.25,0.2,578,5242,4984,258,19.31782945736434,0.03143571629895714,0.5557278959652144
0.25,0.15,578,5242,4984,258,19.31782945736434,0.03143571629895714,0.5557278959652144
0.25,0.1,575,5093,4860,233,20.858369098712448,0.030861990607483715,0.5634730391954619
0.25,0.05,539,4079,3956,123,32.16260162601626,0.028132780655351023,0.6050430210624974
0.25,0.01,388,1935,1912,23,83.1304347826087,0.02577319587628866,0.6861902142290667
0.2,1.0,552,3900,3747,153,24.49019607843137,0.025645072200741734,0.5893642023666678
0.2,0.3,552,3900,3747,153,24.49019607843137,0.025645072200741734,0.5893642023666678
0.2,0.25,552,3900,3747,153,24.49019607843137,0.025645072200741734,0.5893642023666678
0.2,0.2,552,3900,3747,153,24.49019607843137,0.025645072200741734,0.5893642023666678
0.2,0.15,552,3900,3747,153,24.49019607843137,0.025645072200741734,0.5893642023666678
0.2,0.1,552,3892,3739,153,24.437908496732025,0.02559246692443252,0.5896969225711407
0.2,0.05,517,3371,3274,97,33.75257731958763,0.025272517355644522,0.6185716834899836
0.2,0.01,377,1720,1700,20,85.0,0.024267735199503357,0.6946335594529286
0.15,1.0,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.3,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.25,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.2,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.15,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.1,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.05,489,2716,2649,67,39.53731343283582,0.022763082905896945,0.6360161518973947
0.15,0.01,365,1525,1508,17,88.70588235294117,0.022956495559235287,0.7023618274888407
0.1,1.0,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.3,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.25,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.2,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.15,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.1,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.05,414,1663,1634,29,56.3448275862069,0.019452340012398966,0.6744554335087612
0.1,0.01,326,1122,1113,9,123.66666666666667,0.021179801793298727,0.7229043088926544
0.05,1.0,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.3,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.25,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.2,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.15,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.1,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.05,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.01,241,622,616,6,102.66666666666667,0.021507607192254495,0.7459341020633755
0.01,1.0,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.3,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.25,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.2,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.15,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.1,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.05,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.01,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
